"Qty";"Value";"Device";"Package";"Parts";"Description";"APPLICATION";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DATASHEET-URL";"DESCRIPTION";"GERDER";"HEIGHT";"INTERFACE-TYPE";"IR";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGING";"PART-NUMBER";"PINS";"POPULARITY";"QTY";"TYPE";"VALUE";"WORKING-VOLTAGE";
"1";"";"452404020202";"452404020202";"S3";"WS-SLTV THT Mini Slide Switch, Same Side Connection 9.0x3.5 mm";"";"";"";"https://www.we-online.com/catalog/datasheet/452404020202.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bulk";"452404020202";"";"";" 200 ";"";"";"";
"1";"";"MA04-1";"MA04-1";"X3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"41";"";"";"";"";
"2";"";"TASTE10XXWE";"WE_436331045822";"S1, S2";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R";"JUMPSMD1FACH-1SHORT";"MYLIB_SJ-SHORT";"X1, X2";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100n";"C-EUC0805";"C0805";"C5, C11, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100n";"C-EULC0805";"C0805";"C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100n/50V";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10k";"R-EUSR0805";"R0805";"R1, R6, R10, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10k";"R-EU_R0805";"R0805";"R2, R5, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10n";"C-EULC0805";"C0805";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10u";"L-EU-POERL3216C";"MYLIB_L3216C";"L1";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1u";"C-EUC0805";"C0805";"C10, C12, C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1u";"C-EULC0805";"C0805";"C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22k1";"R-EUSR0805";"R0805";"R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"22u/10V";"C-EUC0805";"C0805";"C1, C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2k";"R-EUSR0805";"R0805";"R3, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47k5";"R-EUSR0805";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4u7";"C-EUC0805";"C0805";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5k6";"R-EU_R0805";"R0805";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5n2";"C-EUC0805";"C0805";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"629105150521";"629105150521";"629105150521";"J1";"Type B with Pegs, High Current at Pin 1 & Pin 5 Micro USB 2.0 SMT Type B Horizontal 5 Contacts High Current";"Micro USB 2.0";"";"";"https://www.we-online.com/redexpert/spec/629105150521?ae";"";"Receptacle";"";"Type B";"3.0A";"";"";"";"SMT";"";"";"";"";"";"";"";"Tape and Reel ";"629105150521";" 5 ";"";"";"Horizontal";"629105150521";"30V(AC)";
"1";"AMS1117-3.3";"AMS1117-3.3";"SOT229P700X180-4N";"N1";"Descriptions of ams AMS1117-3.3 provided by its distributors.";"";"";"";"";"Descriptions of ams AMS1117-3.3 provided by its distributors.";"";"1.8mm";"";"";"Advanced";"AMS1117-3.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BAT760-7";"BAT760-7";"SOD323";"V3";"Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323";"";"BAT760-7";"https://www.arrow.com/en/products/bat760-7/diodes-incorporated?region=asia";"";"Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323";"";"1.2mm";"";"";"Diodes Inc.";"BAT760-7";"";"";"621-BAT760-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BAT760-7?qs=JV7lzlMm3yKDDyO09xoRbQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CP2102N-A01-GQFN28";"CP2102N-A01-GQFN28";"QFN28";"D2";"SILICON LABS - CP2102N-A01-GQFN28 - USB-UART INTERFACE BRIDGE, QFN-28";"";"CP2102N-A01-GQFN28";"https://www.arrow.com/en/products/cp2102n-a01-gqfn28/silicon-labs";"";"SILICON LABS - CP2102N-A01-GQFN28 - USB-UART INTERFACE BRIDGE, QFN-28";"";"0.8mm";"";"";"Silicon Labs";"CP2102N-A01-GQFN28";"";"";"634-CP2102NA01GQFN28";"https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2102N-A01-GQFN28?qs=%252BaFUgn%2FzHmxGRIXZFn%252Btdg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP32-WROOM-32UE-N8";"ESP32-WROOM-32UE-N8";"ESP32WROOM32UEN8";"D1";"Multiprotocol Modules SMD module ESP32-WROOM-32UE, ESP32-D0WD-V3, ESP32 ECO V3, 8 MB SPI flash, IPEX antenna connector";"";"";"";"";"Multiprotocol Modules SMD module ESP32-WROOM-32UE, ESP32-D0WD-V3, ESP32 ECO V3, 8 MB SPI flash, IPEX antenna connector";"";"3.35mm";"";"";"Espressif Systems";"ESP32-WROOM-32UE-N8";"";"";"356-ESP32WRM32UE64UH";"https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-WROOM-32UE-N8?qs=Li%252BoUPsLEntX6CSaKZB9vw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"LESD5D5.0CT1G";"LESD5D5.0CT1G";"SOD523";"D3, D4, D5";"Diodes - ESD SOD-523 RoHS";"";"";"";"";"Diodes - ESD SOD-523 RoHS";"";"0.7mm";"";"";"Leshan Radio";"LESD5D5.0CT1G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP3201-CI_SN";"MCP3201-CI_SN";"SOIC127P600X175-8N";"D6";"IC, A-D, Converter, 12 bit, SMT, MCP3201CISN";"";"MCP3201-CI/SN";"https://www.arrow.com/en/products/mcp3201-cisn/microchip-technology?region=nac";"";"IC, A-D, Converter, 12 bit, SMT, MCP3201CISN";"";"1.75mm";"";"";"Microchip";"MCP3201-CI/SN";"";"";"579-MCP3201-CI/SN";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/MCP3201-CI-SN?qs=9y3LFqDLL8L6Qsy36gCZ%252Bw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SS8050-G";"SS8050-G";"SOT95P240X115-3N";"V1, V2";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"SS8050-G";"https://www.arrow.com/en/products/ss8050-g/comchip-technology?region=nac";"";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"1.15mm";"";"";"Comchip Technology";"SS8050-G";"";"";"750-SS8050-G";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TLV9151DBV";"TLV9151DBV";"SOT95P280X145-5N";"V5";"Operational Amplifiers - Op Amps Single 4.5-MHz, 16-V rail-to-rail input/output, low-offset voltage, low-noise op amp 5-SOT-23 -40 to 125";"";"TLV9151IDBVR";"https://www.arrow.com/en/products/tlv9151idbvr/texas-instruments?region=nac";"";"Operational Amplifiers - Op Amps Single 4.5-MHz, 16-V rail-to-rail input/output, low-offset voltage, low-noise op amp 5-SOT-23 -40 to 125";"";"1.45mm";"";"";"Texas Instruments";"TLV9151IDBVR";"";"";"595-TLV9151IDBVR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV9151IDBVR?qs=bAKSY%2FctAC6G8nBzAlllHw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"rt";"LEDCHIP-LED0805";"CHIP-LED0805";"H1";"LED, EN-60617";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
